30 341
0 2 7
0 3 9
0 4 5
0 6 4
0 7 5
0 8 2
0 9 5
0 11 10
0 13 2
0 15 8
0 16 6
0 17 10
0 18 4
0 20 9
0 21 9
0 23 7
0 24 1
0 25 6
0 26 6
0 27 2
0 28 10
0 29 3
1 3 2
1 7 5
1 8 2
1 9 9
1 10 10
1 11 5
1 12 10
1 13 6
1 14 5
1 15 3
1 16 5
1 17 2
1 18 3
1 24 7
1 26 9
2 3 7
2 4 8
2 5 6
2 6 10
2 7 10
2 8 4
2 9 5
2 10 4
2 11 3
2 12 1
2 13 3
2 15 10
2 16 9
2 17 2
2 18 4
2 19 10
2 20 2
2 21 2
2 22 1
2 23 3
2 24 8
2 25 1
2 27 7
2 28 5
2 29 2
3 4 6
3 5 1
3 6 1
3 7 7
3 8 6
3 10 10
3 11 4
3 13 3
3 15 5
3 16 8
3 17 1
3 18 7
3 22 7
3 24 9
3 25 8
3 26 6
3 27 9
3 28 4
3 29 8
4 5 5
4 6 10
4 8 10
4 9 5
4 10 7
4 12 10
4 13 6
4 14 4
4 15 7
4 16 10
4 18 10
4 19 1
4 20 2
4 21 3
4 22 8
4 24 1
4 26 5
4 28 7
4 29 2
5 7 1
5 8 7
5 9 4
5 10 1
5 12 10
5 13 2
5 14 4
5 16 3
5 17 7
5 18 1
5 19 8
5 20 2
5 22 9
5 24 2
5 26 1
5 27 4
5 28 9
5 29 6
6 9 10
6 10 8
6 11 6
6 13 7
6 14 1
6 15 5
6 16 6
6 17 6
6 18 1
6 19 3
6 20 10
6 21 7
6 23 2
6 24 4
6 26 9
6 27 5
6 28 6
6 29 2
7 8 8
7 9 6
7 10 2
7 11 7
7 12 6
7 13 3
7 15 7
7 18 2
7 19 4
7 20 1
7 21 9
7 22 8
7 24 4
7 25 6
7 26 5
7 27 3
7 28 6
7 29 1
8 10 4
8 11 7
8 12 1
8 14 10
8 15 4
8 16 6
8 17 3
8 18 10
8 20 7
8 21 7
8 23 6
8 26 4
8 27 4
8 28 6
9 10 3
9 12 3
9 14 8
9 15 2
9 16 1
9 17 3
9 18 1
9 19 8
9 20 3
9 23 6
9 24 9
9 25 10
9 26 9
9 27 2
9 28 4
9 29 10
10 11 8
10 14 4
10 16 1
10 17 5
10 18 5
10 19 8
10 22 7
10 23 7
10 24 3
10 25 6
10 26 1
10 27 3
10 28 10
10 29 3
11 13 1
11 14 7
11 15 2
11 16 3
11 17 10
11 18 6
11 19 9
11 20 4
11 21 8
11 22 1
11 23 8
11 24 6
11 25 10
11 26 3
11 28 5
12 14 2
12 15 4
12 16 7
12 17 4
12 18 2
12 21 5
12 24 10
12 26 9
12 27 7
12 28 2
12 29 10
13 14 2
13 16 2
13 17 3
13 18 1
13 19 7
13 20 1
13 21 6
13 22 2
13 23 2
13 24 1
13 25 3
13 26 4
13 28 3
13 29 4
14 15 2
14 16 5
14 17 1
14 19 3
14 20 2
14 21 5
14 22 4
14 23 8
14 25 9
14 26 3
14 27 2
14 28 10
14 29 7
15 19 4
15 20 3
15 21 7
15 22 3
15 23 7
15 24 2
15 25 5
15 26 3
15 27 5
15 28 2
15 29 6
16 17 9
16 18 7
16 19 6
16 20 6
16 21 8
16 22 3
16 23 5
16 24 10
16 25 8
16 27 7
16 28 4
17 18 9
17 19 8
17 20 2
17 21 4
17 22 8
17 23 1
17 24 2
17 25 5
17 26 3
17 27 8
17 28 8
17 29 4
18 19 7
18 20 1
18 21 1
18 22 7
18 23 10
18 24 8
18 25 5
18 26 4
18 27 1
18 28 5
18 29 6
19 20 4
19 22 2
19 23 5
19 24 3
19 25 4
19 26 7
19 28 5
19 29 6
20 21 3
20 22 2
20 23 10
20 24 9
20 25 6
20 26 7
20 27 8
20 28 6
20 29 1
21 22 3
21 23 1
21 25 6
21 26 1
21 29 2
22 23 7
22 24 1
22 25 1
22 28 4
22 29 10
23 24 2
23 25 6
23 26 6
23 27 7
23 28 3
23 29 3
24 25 3
24 26 7
24 27 8
24 28 4
24 29 8
25 27 1
25 29 2
26 28 3
26 29 5
27 28 9
27 29 6
28 29 1
0 2 2 0 2 0 0 0 0 1 0 1 2 1 2 1 2 2 0 1 1 2 0 0 2 2 0 1 0 1 
2 0 0 2 0 2 1 0 0 1 1 1 2 0 0 1 2 2 1 2 1 2 2 2 0 0 1 0 1 0 
2 0 0 1 2 1 2 0 2 0 2 0 1 0 2 0 2 1 2 1 2 0 0 1 2 1 0 0 0 1 
0 2 1 0 1 1 2 2 0 0 2 2 1 0 1 2 1 0 1 2 1 0 2 0 1 1 2 1 0 0 
2 0 2 1 0 2 0 0 2 0 2 2 2 2 2 2 1 2 0 1 0 0 1 0 0 1 1 2 1 2 
0 2 1 1 2 0 1 0 2 0 1 2 0 0 0 2 2 1 2 1 2 1 1 2 0 0 2 2 1 2 
0 1 2 2 0 1 0 2 0 2 1 2 0 1 1 1 2 2 2 1 0 0 0 0 2 2 1 0 2 1 
0 0 0 2 0 0 2 0 1 1 2 2 1 2 2 1 2 1 1 2 1 2 1 2 1 2 2 0 1 0 
0 0 2 0 2 2 0 1 0 2 0 2 1 1 1 2 2 2 1 2 0 0 2 2 1 2 1 2 1 1 
1 1 0 0 0 0 2 1 2 0 0 2 1 0 0 1 1 1 2 1 2 1 0 2 1 1 2 2 1 0 
0 1 2 2 2 1 1 2 0 0 0 0 0 2 2 2 1 2 1 1 1 2 1 0 1 1 1 1 2 0 
1 1 0 2 2 2 2 2 2 2 0 0 1 2 2 2 1 0 1 1 1 0 2 1 1 1 2 2 2 1 
2 2 1 1 2 0 0 1 1 1 0 1 0 2 0 2 0 0 0 1 2 1 2 2 0 1 1 1 0 2 
1 0 0 0 2 0 1 2 1 0 2 2 2 0 1 1 1 0 1 1 2 2 2 0 0 0 0 0 0 2 
2 0 2 1 2 0 1 2 1 0 2 2 0 1 0 1 1 0 2 1 1 0 1 0 1 1 2 2 2 1 
1 1 0 2 2 2 1 1 2 1 2 2 2 1 1 0 1 1 0 2 2 1 1 1 2 1 2 2 2 2 
2 2 2 1 1 2 2 2 2 1 1 1 0 1 1 1 0 0 2 1 1 0 2 2 1 2 0 2 0 2 
2 2 1 0 2 1 2 1 2 1 2 0 0 0 0 1 0 0 1 2 0 2 1 0 1 2 0 2 1 2 
0 1 2 1 0 2 2 1 1 2 1 1 0 1 2 0 2 1 0 1 1 0 1 2 1 1 0 0 0 2 
1 2 1 2 1 1 1 2 2 1 1 1 1 1 1 2 1 2 1 0 2 2 2 2 2 2 1 2 0 2 
1 1 2 1 0 2 0 1 0 2 1 1 2 2 1 2 1 0 1 2 0 2 2 1 1 0 1 1 1 0 
2 2 0 0 0 1 0 2 0 1 2 0 1 2 0 1 0 2 0 2 2 0 1 1 0 2 2 2 1 1 
0 2 0 2 1 1 0 1 2 0 1 2 2 2 1 1 2 1 1 2 2 1 0 1 0 1 2 1 2 0 
0 2 1 0 0 2 0 2 2 2 0 1 2 0 0 1 2 0 2 2 1 1 1 0 2 0 1 1 2 2 
2 0 2 1 0 0 2 1 1 1 1 1 0 0 1 2 1 1 1 2 1 0 0 2 0 0 2 2 2 1 
2 0 1 1 1 0 2 2 2 1 1 1 1 0 1 1 2 2 1 2 0 2 1 0 0 0 0 2 1 1 
0 1 0 2 1 2 1 2 1 2 1 2 1 0 2 2 0 0 0 1 1 2 2 1 2 0 0 2 2 1 
1 0 0 1 2 2 0 0 2 2 1 2 1 0 2 2 2 2 0 2 1 2 1 1 2 2 2 0 0 1 
0 1 0 0 1 1 2 1 1 1 2 2 0 0 2 2 0 1 0 0 1 1 2 2 2 1 2 0 0 0 
1 0 1 0 2 2 1 0 1 0 0 1 2 2 1 2 2 2 2 2 0 1 0 2 1 1 1 1 0 0 
